Variable, Accuracy, ErrorRate, PercentFalsePositive, PercentFalseNegative
cap_shape, 0.5940711462450593, 0.4059288537549407, 0.26717557251908397, 0.421957671957672
cap_surface, 0.5692492974708953, 0.4307507025291048, 0.4772222222222222, 0.3096960926193922
cap_color, 0.6131239935587761, 0.38687600644122383, 0.4103982300884956, 0.37341772151898733
bruises, 0.7157018239492466, 0.28429817605075336, 0.34081902245706736, 0.19940476190476192
odor, 0.9858934169278997, 0.014106583072100314, 0.0, 0.026124818577648767
gill_attachment, 0.5256309148264984, 0.47436908517350157, nil, 0.47436908517350157
gill_spacing, 0.6237274862960063, 0.3762725137039937, 0.44830917874396137, 0.06818181818181818
gill_size, 0.7679777512912197, 0.2320222487087803, 0.1251700680272109, 0.2760942760942761
gill_color, 0.8080126933756446, 0.19198730662435542, 0.15416238437821173, 0.2157622739018088
stalk_shape, 0.5677523120225171, 0.4322476879774829, 0.4701923076923077, 0.40497581202487903
stalk_root, 0.6736467799288819, 0.3263532200711181, 0.2703804347826087, 0.3493036211699164
stalk_surface_above_ring, 0.7901716068642746, 0.20982839313572543, 0.04685408299866131, 0.27682993946064943
stalk_surface_below_ring, 0.7784431137724551, 0.2215568862275449, 0.07050359712230216, 0.2795580110497238
stalk_color_above_ring, 0.717490494296578, 0.28250950570342204, 0.1997677119628339, 0.32278123233465233
stalk_color_below_ring, 0.7275628240925409, 0.27243717590745914, 0.22540045766590389, 0.2976117575015309
veil_color, 0.5193548387096775, 0.4806451612903226, 0.0, 0.481421647819063
ring_number, 0.5412474849094567, 0.45875251509054327, 0.0, 0.4604200323101777
ring_type, 0.7503015681544029, 0.24969843184559712, 0.29128440366972475, 0.2035623409669211
spore, 0.8589585895858959, 0.14104141041410415, 0.16526845637583892, 0.11788291900561347
population, 0.7244532803180914, 0.2755467196819085, 0.2897727272727273, 0.2618862042088854
habitat, 0.7072888546085615, 0.2927111453914385, 0.19246298788694483, 0.33297297297297296
